UID	HOOFDTEELT_CTRL_COD	HOOFDTEELT_CTRL_COD_ORIG	HOOFDTEELT_CTRL_NAM_ORIG	GESP_PM	STAT_BGV
000028104EFB34B400000001	9711	9711	Meerjarige_fruitteelten_(peer)		
000028104EFB351900000001	9711	9711	Meerjarige_fruitteelten_(peer)		
000028104EF8E64000000005	34	9710	Meerjarige_fruitteelten_(appel)		
000028104EFB344F00000001	9711	9711	Meerjarige_fruitteelten_(peer)		
000028105DC5314D00000001	9710	9710	Meerjarige_fruitteelten_(appel)		
000028104EFB357E00000007	9711	9711	Meerjarige_fruitteelten_(peer)		
000028105BD3B36600000001	9711	9711	Meerjarige_fruitteelten_(peer)		
000028105C3E5F7E00000001	9711	9711	Meerjarige_fruitteelten_(peer)		
000028104EFB384100000001	9710	9710	Meerjarige_fruitteelten_(appel)		
000028104EFB38A600000001	9710	9710	Meerjarige_fruitteelten_(appel)		
000028104EFB397000000003	9710	9710	Meerjarige_fruitteelten_(appel)		
000028105C50E42900000006	60	60	Grasland		BG
000028105C77A26E00000001	36	36	Spelt		
00002810667694A800000004	321	321	Wintergerst		
000028105C7756A600000001	331	331	Winterrogge		
000028106750212B00000003	392	392	Mengteelt_zomergranen_en_zomerteelt_vlinderbloemige		
0000281063A8786B00000013	201	201	Silomais		
000028106A69034600000004	36	36	Spelt		
000028106492630200000001	36	36	Spelt		
0000281060D7BE6500000001	321	321	Wintergerst		
00002810675268EA00000001	931	931	Erwten_(andere_dan_droog_geoogst)_-_vers		
00002810666C1BE400000008	91	91	Suikerbieten		
000028105DF3252600000007	311	311	Wintertarwe		
000028105DF31AE400000009	201	201	Silomais		
00002810695775E30000000A	832	831	Erwten_(andere_dan_droog_geoogst)_-_industrie		
000028106957757E0000000A	832	831	Erwten_(andere_dan_droog_geoogst)_-_industrie		
000028106A560C8A00000001	36	36	Spelt		
000028106A560C2500000005	36	36	Spelt		
000028106588F99400000001	749	749	Mengsel_met_1_of_meerdere_vlinderbloemigen		
00002810653F736800000001	921	921	Vezelvlas_(bestemd_voor_vezelproductie)		
000028106967CFA000000004	395	395	Mengteelt_wintertarwe_of_triticale_en_winterteelt_vlinderbloemige		
00002810664606F400000010	395	395	Mengteelt_wintertarwe_of_triticale_en_winterteelt_vlinderbloemige		
000028106A22EA1C00000013	921	921	Vezelvlas_(bestemd_voor_vezelproductie)		
000028106ABBC21B0000000B	322	322	Zomergerst		
0000281060F2940A00000004	60	60	Grasland		BG
0000281049025AA100000003	60	60	Grasland		BG
0000281049025CFF00000007	60	60	Grasland		BG
0000281049025C9A00000005	60	60	Grasland		BG
000028105F0EDC5900000006	60	60	Grasland		BG
00002810628208EB00000004	60	60	Grasland	MAA	BG
000028105D6E177300000006	8410	8410	Stamslabonen/sperziebonen_-_industrie		
000028106471558C00000006	8410	8410	Stamslabonen/sperziebonen_-_industrie		
00002810651ACC5700000003	321	321	Wintergerst		
0000281059E257DA00000004	60	60	Grasland	MAA	BG4
000028105DEA016600000004	395	395	Mengteelt_wintertarwe_of_triticale_en_winterteelt_vlinderbloemige	MAA	
00002810671BFD6500000006	98	98	Faunamengsel		
00002810671BFDCA00000008	98	98	Faunamengsel		
000028105C5B8AB500000003	36	36	Spelt		
000028105CFAF99E00000005	521	521	Winterveldbonen_-_niet_menselijke_consumptie		
000028104AB7925A00000001	36	36	Spelt		
000028106814A01F00000001	311	311	Wintertarwe		
000028106814A0E900000003	311	311	Wintertarwe		
000028106814A14E00000004	311	311	Wintertarwe		
000028106814A27D00000001	311	311	Wintertarwe		
000028106814A34700000003	311	311	Wintertarwe		
000028106814A73900000003	901	901	Aardappelen_(geplande_oogst_vanaf_1/9)		
000028106814A86800000001	901	901	Aardappelen_(geplande_oogst_vanaf_1/9)		
000028106814A8CD00000003	901	901	Aardappelen_(geplande_oogst_vanaf_1/9)		
000028106814AA6500000003	311	311	Wintertarwe		
000028106814ADF200000004	901	901	Aardappelen_(geplande_oogst_vanaf_1/9)		
000028106814B17F00000001	311	311	Wintertarwe		
000028106814B1E400000005	901	901	Aardappelen_(geplande_oogst_vanaf_1/9)		
000028106814B24900000003	901	901	Aardappelen_(geplande_oogst_vanaf_1/9)		
0000281069A8F50600000008	311	311	Wintertarwe		
000028106814B11A00000006	311	311	Wintertarwe		
000028106A23E1FC00000003	523	523	Drooggeoogste_Vicia_bonen_(voor_menselijke_consumptie)		
00002810626551BE00000003	201	321	Wintergerst		
000028106265515900000001	201	321	Wintergerst		
000028105E5588F200000018	901	901	Aardappelen_(geplande_oogst_vanaf_1/9)		
0000281064085C0500000007	60	60	Grasland	MAA	BG5
000028104EFC8C1600000003	9711	9711	Meerjarige_fruitteelten_(peer)		
000028106275CE9800000009	9711	9711	Meerjarige_fruitteelten_(peer)		
000028106275E12700000008	9711	9711	Meerjarige_fruitteelten_(peer)		
0000281061B595B800000003	9711	9711	Meerjarige_fruitteelten_(peer)		
000028104EFC8FA300000003	9711	9711	Meerjarige_fruitteelten_(peer)		
000028104EFC8F3E00000006	9710	9710	Meerjarige_fruitteelten_(appel)		
0000281069A359EA00000013	9710	9710	Meerjarige_fruitteelten_(appel)		
0000281061B5961D00000003	9711	9711	Meerjarige_fruitteelten_(peer)		
000028104EFC946300000001	9710	9710	Meerjarige_fruitteelten_(appel)		
0000281059C1640D00000001	9711	9711	Meerjarige_fruitteelten_(peer)		
000028104EFC952D00000004	9710	9710	Meerjarige_fruitteelten_(appel)		
000028104EFC94C800000001	9711	9711	Meerjarige_fruitteelten_(peer)		
0000281063EECD9100000006	9710	9710	Meerjarige_fruitteelten_(appel)		
0000281063EECF2500000002	9710	9710	Meerjarige_fruitteelten_(appel)		
0000281063EECEC000000005	9710	9710	Meerjarige_fruitteelten_(appel)		
0000281060A5C19F00000003	9710	9710	Meerjarige_fruitteelten_(appel)		
0000281061B5962100000006	9710	9710	Meerjarige_fruitteelten_(appel)		
000028104EFC8E0F00000009	9711	9711	Meerjarige_fruitteelten_(peer)		
0000281063EECCC70000000C	9711	9711	Meerjarige_fruitteelten_(peer)		
000028104EFC920100000001	9710	9710	Meerjarige_fruitteelten_(appel)		
0000281059C19C1B00000006	9710	9710	Meerjarige_fruitteelten_(appel)		
000028105D70C04C00000001	9710	9710	Meerjarige_fruitteelten_(appel)		
0000281069A3598500000003	9710	9710	Meerjarige_fruitteelten_(appel)		
0000281062E90F2900000006	9710	9710	Meerjarige_fruitteelten_(appel)		
0000281061B594EE00000001	9710	9710	Meerjarige_fruitteelten_(appel)		
0000281061B5942400000001	9711	9711	Meerjarige_fruitteelten_(peer)		
0000281061B5955300000001	9710	9710	Meerjarige_fruitteelten_(appel)		
0000281061B593BF00000003	9711	9711	Meerjarige_fruitteelten_(peer)		
0000281061B5968600000001	9710	9710	Meerjarige_fruitteelten_(appel)		
0000281061B592F500000001	9711	9711	Meerjarige_fruitteelten_(peer)		
000028104EFC939900000002	9711	9711	Meerjarige_fruitteelten_(peer)		
000028104F74454300000003	9711	9711	Meerjarige_fruitteelten_(peer)		
0000281059C1789500000006	9711	9711	Meerjarige_fruitteelten_(peer)		
0000281059C1704C00000001	9711	9711	Meerjarige_fruitteelten_(peer)		
000028105BD9B45800000001	9711	9711	Meerjarige_fruitteelten_(peer)		
000028104EFC93FE00000003	9711	9711	Meerjarige_fruitteelten_(peer)		
0000281059C1730F00000001	9711	9711	Meerjarige_fruitteelten_(peer)		
000028105CF2EE1C00000003	9710	9710	Meerjarige_fruitteelten_(appel)		
000028104EFC998400000003	9711	9711	Meerjarige_fruitteelten_(peer)		
000028106565BA7700000003	9711	9711	Meerjarige_fruitteelten_(peer)		
000028106275D28A00000008	9710	9710	Meerjarige_fruitteelten_(appel)		
000028104EFC985500000009	9711	9711	Meerjarige_fruitteelten_(peer)		
000028104EFC98BA00000003	9711	9711	Meerjarige_fruitteelten_(peer)		
000028106565BADC00000004	9711	9711	Meerjarige_fruitteelten_(peer)		
0000281060C9CF8C00000005	201	201	Silomais	MAA	
0000281063E7E88100000003	700	700	Grasklaver	MAA	BG2
000028106465C88000000005	311	311	Wintertarwe		
000028106647BDD800000003	395	395	Mengteelt_wintertarwe_of_triticale_en_winterteelt_vlinderbloemige		
0000281063ED929B00000001	395	395	Mengteelt_wintertarwe_of_triticale_en_winterteelt_vlinderbloemige		
0000281063ED942F00000001	395	395	Mengteelt_wintertarwe_of_triticale_en_winterteelt_vlinderbloemige		
000028105C6A234800000001	395	395	Mengteelt_wintertarwe_of_triticale_en_winterteelt_vlinderbloemige		
0000281060C3F87000000002	395	395	Mengteelt_wintertarwe_of_triticale_en_winterteelt_vlinderbloemige		
000028105C6A3A8F00000001	395	395	Mengteelt_wintertarwe_of_triticale_en_winterteelt_vlinderbloemige		
00002810626B14B700000008	395	395	Mengteelt_wintertarwe_of_triticale_en_winterteelt_vlinderbloemige		
000028105C6A39C500000003	395	395	Mengteelt_wintertarwe_of_triticale_en_winterteelt_vlinderbloemige		
00002810658D440300000001	35	35	Triticale		
0000281000C7D32A00000001	35	35	Triticale		
0000281000C7D32D00000001	35	35	Triticale		
000028104F0C48BD00000001	35	35	Triticale		
0000281069B7E66600000001	35	35	Triticale		
0000281067B374EF00000003	8410	8410	Stamslabonen/sperziebonen_-_industrie		
000028106A41CE9900000007	311	311	Wintertarwe		
0000281068F2C40800000002	9410	9410	Stamslabonen/sperziebonen_-_vers		
000028104B3DB12D00000005	35	35	Triticale		
0000281067AA442A00000006	312	312	Zomertarwe		
00002810626A522200000005	9525	9525	Broccoli_-_vers		
00002810641C6BC900000006	391	391	Mengteelt_andere_wintergranen_en_winterteelt_vlinderbloemige		
000028106714735700000001	9525	9525	Broccoli_-_vers		
0000281067AA423100000001	9538	9538	Prei_-_vers		
0000281067AA429600000001	9525	9525	Broccoli_-_vers		
0000281061FED2DF0000000A	60	60	Grasland	MAA	BG2
0000281069680EC800000009	311	311	Wintertarwe		
0000281068FD27DF00000004	201	201	Silomais	BGG,MAA	
0000281068FD3A0900000006	201	201	Silomais	MAA	
000028106A4F611400000001	901	901	Aardappelen_(geplande_oogst_vanaf_1/9)		
00002810667D401A0000000C	321	321	Wintergerst		
000028106768422100000004	832	832	Tuin-_en_veldbonen_(Vicia_faba)_-_industrie		
000028106768441A00000003	832	832	Tuin-_en_veldbonen_(Vicia_faba)_-_industrie		
000028106190CF7C00000005	8411	8411	Snijbonen_-_industrie		
000028106768408D00000003	832	832	Tuin-_en_veldbonen_(Vicia_faba)_-_industrie		
000028106A7C69B500000004	60	201	Silomais		BG1
000028105F123B2700000003	8410	8410	Stamslabonen/sperziebonen_-_industrie		
000028106A46A8B400000004	311	311	Wintertarwe		
000028105B4BCFDC00000001	36	36	Spelt		
00002810695450B700000002	311	311	Wintertarwe		
000028106230FE9C00000002	60	60	Grasland		BG3
000028105B22A26000000003	522	522	Zomerveldbonen_-_niet_menselijke_consumptie		
0000281060E0071600000001	522	522	Zomerveldbonen_-_niet_menselijke_consumptie		
00002810635F2DDA00000001	322	322	Zomergerst		
000028106750689C00000006	202	202	Korrelmais		
0000281069EA386C00000003	202	202	Korrelmais		
000028105A75507400000007	311	311	Wintertarwe		
000028106A4457DE00000001	201	201	Silomais	MAA	
0000281069033EE900000004	321	321	Wintergerst		
000028106283B52800000006	60	60	Grasland		BG1
000028104A3300FA00000001	311	311	Wintertarwe		
000028105EAF003E00000001	601	601	Zaaizaad_grassen		
0000281069546EB700000001	524	524	Drooggeoogste_Phaseolus_bonen_(voor_menselijke_consumptie)		
0000281067A7DE6700000003	524	524	Drooggeoogste_Phaseolus_bonen_(voor_menselijke_consumptie)		
000028106990E1DF00000006	601	601	Zaaizaad_grassen	MAA	
0000281061C027C000000001	601	603	Zaaizaad_graangewassen		
00002810665C8BDA00000001	60	60	Grasland		BG
0000281065231B5800000001	60	60	Grasland	MAA	BG
000028106A33BFC700000001	60	60	Grasland		BG
0000281069C9289C00000001	60	60	Grasland		BG
000028106288EF8F00000001	60	60	Grasland		BG4
000028106677045B00000003	8410	8410	Stamslabonen/sperziebonen_-_industrie		
0000281060D5BFA700000001	321	321	Wintergerst		
000028106657279D00000001	601	601	Zaaizaad_grassen	MAA	
0000281067C008D900000001	656	643	Gele_mosterd		
000028106298E96100000005	35	35	Triticale		
000028105E7B521A00000001	60	60	Grasland		BG
000028105E7B527F00000003	60	60	Grasland		BG
000028105E7B53AE00000001	60	60	Grasland		BG
000028105E7B52E400000006	60	60	Grasland		BG
000028105E7B534900000003	60	60	Grasland		BG
0000281069E85E6300000008	323	323	Brouwgerst		
000028106AA8DFE300000004	321	321	Wintergerst		
0000281069C60BB900000004	901	901	Aardappelen_(geplande_oogst_vanaf_1/9)	EQW	
0000281067D1026B00000004	901	901	Aardappelen_(geplande_oogst_vanaf_1/9)	EQW	
0000281069C611A400000002	91	91	Suikerbieten		
0000281069C6101000000003	91	91	Suikerbieten		
000028106AB5FF2200000001	91	91	Suikerbieten		
000028106254FC5800000007	643	643	Gele_mosterd		
0000281069F58B0C00000001	521	521	Winterveldbonen_-_niet_menselijke_consumptie		
0000281062656FBE00000004	332	332	Zomerrogge		
00002810648A79D30000000E	8410	8410	Stamslabonen/sperziebonen_-_industrie		
00002810696C4EF100000001	311	311	Wintertarwe		
0000281065213A3900000002	831	831	Erwten_(andere_dan_droog_geoogst)_-_industrie		
00002810636216A500000001	831	831	Erwten_(andere_dan_droog_geoogst)_-_industrie		
000028104C42021B00000001	36	36	Spelt		
00002810692290BB00000005	923	923	Wintervlas_(vezelproductie_en_industriele_toepassingen)		
000028104B0E201500000005	36	36	Spelt		
0000281069EA560700000009	312	312	Zomertarwe		
000028106A8D1E3800000001	832	832	Tuin-_en_veldbonen_(Vicia_faba)_-_industrie		
000028106A8D1DD300000001	832	832	Tuin-_en_veldbonen_(Vicia_faba)_-_industrie		
0000281062E6BD2400000001	9511	9511	Asperges_-_vers		
000028106A16D4E300000007	9511	9511	Asperges_-_vers		
00002810623556DE00000001	9511	9511	Asperges_-_vers		
000028106A16D54800000003	9511	9511	Asperges_-_vers		
000028105C4E58EB00000001	9511	9511	Asperges_-_vers		
000028106A16D5AD00000001	9511	9511	Asperges_-_vers		
00002810656C49E600000004	9511	9511	Asperges_-_vers		
00002810656C4B1500000003	9511	9511	Asperges_-_vers		
0000281067B5D9E400000001	9511	9511	Asperges_-_vers		
00002810656C4A4B00000001	9511	9511	Asperges_-_vers		
00002810656C48B700000003	9511	9511	Asperges_-_vers		
00002810656C498100000003	9511	9511	Asperges_-_vers		
0000281064FB002B00000015	321	321	Wintergerst		
0000281061AC0E840000000C	904	904	Aardappelen_(geplande_oogst_voor_1/9)		
000028106417D5F700000007	311	311	Wintertarwe		
00002810623782960000000F	36	36	Spelt		
0000281067B8D14800000004	8523	8523	Bloemkool_-_industrie		
000028106A53B6F80000000A	8523	8523	Bloemkool_-_industrie		
000028106A53B6930000000A	8523	8523	Bloemkool_-_industrie		
000028106A53B75D00000006	8523	8523	Bloemkool_-_industrie		
0000281062482ADE0000000E	921	921	Vezelvlas_(bestemd_voor_vezelproductie)		
0000281000C946C800000003	321	321	Wintergerst		
0000281067C5118600000003	8523	8523	Bloemkool_-_industrie		
0000281067C5112100000007	8523	8523	Bloemkool_-_industrie		
0000281066E4EDB000000001	643	643	Gele_mosterd		
000028106AC829CD00000002	311	311	Wintertarwe		
00002810677FD9BB00000001	98	643	Gele_mosterd		
000028106A278AFA00000007	201	201	Silomais		
00002810651C34B400000008	8410	8410	Stamslabonen/sperziebonen_-_industrie		
000028104B77926200000006	8410	8410	Stamslabonen/sperziebonen_-_industrie		
0000281000C8CD3100000001	8410	8410	Stamslabonen/sperziebonen_-_industrie		
000028106958ECD900000001	8410	8410	Stamslabonen/sperziebonen_-_industrie		
000028105976BBCA00000001	8410	8410	Stamslabonen/sperziebonen_-_industrie		
000028105FE1A9AC00000003	60	8410	Stamslabonen/sperziebonen_-_industrie		
0000281067DC029200000004	311	311	Wintertarwe		
0000281069C4623B00000004	9511	9511	Asperges_-_vers		
000028104ADA31FF00000009	60	60	Grasland		BG2
000028104B49FE7000000001	36	36	Spelt		
000028104B49FE0B00000001	36	36	Spelt		
0000281067702B4C00000002	201	201	Silomais	MAA	
0000281067F8FF9C00000003	60	321	Wintergerst		BG1
0000281049E4213800000003	322	322	Zomergerst		
0000281067C10A3100000006	60	60	Grasland		BG
00002810636826FA00000005	8410	8410	Stamslabonen/sperziebonen_-_industrie		
000028104972689800000003	901	901	Aardappelen_(geplande_oogst_vanaf_1/9)		
000028106A70CF3B00000003	311	311	Wintertarwe		
0000281060ACBA6D00000010	901	901	Aardappelen_(geplande_oogst_vanaf_1/9)		
00002810699C88F900000006	8410	8410	Stamslabonen/sperziebonen_-_industrie		
000028106A70D06A00000005	202	202	Korrelmais		
000028106A70D0CF00000002	311	311	Wintertarwe		
000028106A70CCDD00000003	311	311	Wintertarwe		
000028106A70CD4200000001	311	311	Wintertarwe		
00002810699C8A8D00000001	202	202	Korrelmais		
0000281067E0C8EF00000003	901	901	Aardappelen_(geplande_oogst_vanaf_1/9)		
0000281067E0CAE800000005	901	901	Aardappelen_(geplande_oogst_vanaf_1/9)		
0000281067E0C9B900000014	901	901	Aardappelen_(geplande_oogst_vanaf_1/9)		
000028104F4D393D0000000A	901	901	Aardappelen_(geplande_oogst_vanaf_1/9)		
000028104972657000000003	901	901	Aardappelen_(geplande_oogst_vanaf_1/9)		
00002810616039E400000006	60	60	Grasland		BG4
0000281067E1BA1600000003	9410	9410	Stamslabonen/sperziebonen_-_vers		
000028106715796B00000006	35	35	Triticale		
0000281067157AFF00000001	35	35	Triticale		
000028106A84B19C00000003	646	646	Tagetes_(Afrikaantje)		
000028106A84B20100000003	646	646	Tagetes_(Afrikaantje)		
000028104B11839F00000001	35	35	Triticale		
0000281065DDC5BC0000001D	904	904	Aardappelen_(geplande_oogst_voor_1/9)		
000028104B698A4500000003	321	321	Wintergerst		
000028106A2D98F100000001	395	395	Mengteelt_wintertarwe_of_triticale_en_winterteelt_vlinderbloemige		
000028106A2D982700000006	395	395	Mengteelt_wintertarwe_of_triticale_en_winterteelt_vlinderbloemige		
000028106974394F00000001	8410	8410	Stamslabonen/sperziebonen_-_industrie		
0000281062DCD14900000006	700	700	Grasklaver		BG3
000028104F7B259B00000003	60	60	Grasland		BG
000028106056F3A200000012	60	60	Grasland		BG
000028104F7B581F00000003	60	700	Grasklaver		BG
000028105AEB34B900000006	60	60	Grasland		BG
00002810652A31C100000004	60	60	Grasland		BG
000028106AB2F0D800000005	60	60	Grasland		BG2
0000281061B81E9C00000001	60	700	Grasklaver		BG
00002810680032D200000004	60	700	Grasklaver		BG4
00002810634D348000000001	60	60	Grasland		BG
000028106AB2EE7A00000004	60	60	Grasland		BG2
000028106A6D0CF900000003	60	60	Grasland		BG
000028106AB2EE1500000006	60	60	Grasland		BG2
000028106A66213000000006	311	311	Wintertarwe		
00002810634DD65600000003	392	392	Mengteelt_zomergranen_en_zomerteelt_vlinderbloemige	MAA	
00002810634DCED700000001	392	392	Mengteelt_zomergranen_en_zomerteelt_vlinderbloemige	MAA	
00002810634DCA7C00000003	392	392	Mengteelt_zomergranen_en_zomerteelt_vlinderbloemige	MAA	
00002810634DD97E00000001	392	392	Mengteelt_zomergranen_en_zomerteelt_vlinderbloemige	MAA	
0000281069BB91C600000016	392	392	Mengteelt_zomergranen_en_zomerteelt_vlinderbloemige	MAA	
000028106AA5D2C800000001	392	392	Mengteelt_zomergranen_en_zomerteelt_vlinderbloemige	MAA	
00002810634DE4EF00000003	392	392	Mengteelt_zomergranen_en_zomerteelt_vlinderbloemige	MAA	
00002810634DCB4600000003	392	392	Mengteelt_zomergranen_en_zomerteelt_vlinderbloemige	MAA	
0000281069BB95530000000D	392	392	Mengteelt_zomergranen_en_zomerteelt_vlinderbloemige	MAA	
00002810634DF25900000002	922	922	Vezelhennep_(bestemd_voor_vezelproductie)	MAA	
00002810634DF9DC00000006	392	392	Mengteelt_zomergranen_en_zomerteelt_vlinderbloemige	MAA	
00002810634DF91200000002	392	392	Mengteelt_zomergranen_en_zomerteelt_vlinderbloemige	MAA	
00002810634DF8AD0000000F	392	392	Mengteelt_zomergranen_en_zomerteelt_vlinderbloemige	MAA	
00002810634DFF6200000005	392	392	Mengteelt_zomergranen_en_zomerteelt_vlinderbloemige	MAA	
00002810634DEECC00000003	392	392	Mengteelt_zomergranen_en_zomerteelt_vlinderbloemige	MAA	
00002810657948620000000A	392	392	Mengteelt_zomergranen_en_zomerteelt_vlinderbloemige	MAA	
00002810634DED9D00000001	392	392	Mengteelt_zomergranen_en_zomerteelt_vlinderbloemige	MAA	
000028106AA5CD4200000005	392	392	Mengteelt_zomergranen_en_zomerteelt_vlinderbloemige	MAA	
00002810634DD78500000009	392	392	Mengteelt_zomergranen_en_zomerteelt_vlinderbloemige	MAA	
00002810634DD8B400000003	392	392	Mengteelt_zomergranen_en_zomerteelt_vlinderbloemige	MAA	
00002810634DD52700000005	392	392	Mengteelt_zomergranen_en_zomerteelt_vlinderbloemige	MAA	
00002810634DF2C200000003	392	392	Mengteelt_zomergranen_en_zomerteelt_vlinderbloemige	MAA	
00002810634DD4C200000001	392	392	Mengteelt_zomergranen_en_zomerteelt_vlinderbloemige	MAA	
000028104FB05ED400000009	60	60	Grasland		BG
00002810647F1AF400000001	6041	6041	Zaaizaad_wintervlas		
00002810647F1B5900000001	6041	6041	Zaaizaad_wintervlas		
0000281069525DD300000006	311	311	Wintertarwe		
000028106A41CA4200000003	831	831	Erwten_(andere_dan_droog_geoogst)_-_industrie		
000028106A44FD3D00000005	201	201	Silomais		
00002810620A1BA600000002	201	322	Zomergerst		
00002810638E20AD00000008	8411	8411	Snijbonen_-_industrie		
0000281067E4C8600000000A	8411	8411	Snijbonen_-_industrie		
000028105DCC262500000001	9511	9511	Asperges_-_vers		
000028105DCC352700000002	9511	9511	Asperges_-_vers		
000028105DCC358C00000001	9511	9511	Asperges_-_vers		
000028105DCC2DA800000013	9511	9511	Asperges_-_vers		
0000281061FE4AB60000000D	9511	9511	Asperges_-_vers		
0000281064AC58DC00000004	9511	9511	Asperges_-_vers		
0000281069E08FAB00000004	9511	9511	Asperges_-_vers		
0000281064AC55B40000000C	9511	9511	Asperges_-_vers		
00002810692669190000000B	9511	9511	Asperges_-_vers		
000028106A713EEE00000003	8410	8410	Stamslabonen/sperziebonen_-_industrie		
0000281062C6D68900000001	522	522	Zomerveldbonen_-_niet_menselijke_consumptie		
0000281062C6D29700000002	522	522	Zomerveldbonen_-_niet_menselijke_consumptie		
000028106A5B8B9F00000003	522	522	Zomerveldbonen_-_niet_menselijke_consumptie		
0000281065475E8C00000011	311	311	Wintertarwe		
000028106ABE212500000006	202	202	Korrelmais		
00002810694110F600000001	8410	8410	Stamslabonen/sperziebonen_-_industrie		
000028106A22FE3F0000000F	8410	8410	Stamslabonen/sperziebonen_-_industrie		
000028106941102C00000001	8410	8410	Stamslabonen/sperziebonen_-_industrie		
00002810676BA34D00000007	8410	8410	Stamslabonen/sperziebonen_-_industrie		
00002810699BBBBD00000001	311	311	Wintertarwe		
000028105B814CFD00000001	904	904	Aardappelen_(geplande_oogst_voor_1/9)		
0000281059E965FA00000001	904	904	Aardappelen_(geplande_oogst_voor_1/9)		
0000281065552DD50000000F	904	904	Aardappelen_(geplande_oogst_voor_1/9)		
0000281069BDD0D700000003	36	36	Spelt		
0000281064A17CA400000003	312	312	Zomertarwe		
0000281048EA60BE00000003	312	312	Zomertarwe		
000028106A4F161600000001	832	832	Tuin-_en_veldbonen_(Vicia_faba)_-_industrie		
000028106A4F167B00000001	832	832	Tuin-_en_veldbonen_(Vicia_faba)_-_industrie		
000028105E3BB76400000003	36	36	Spelt		
000028105E3BB50600000007	392	392	Mengteelt_zomergranen_en_zomerteelt_vlinderbloemige		
0000281064D82B3F00000009	392	392	Mengteelt_zomergranen_en_zomerteelt_vlinderbloemige		
000028106678530F00000002	60	60	Grasland		BG5
000028106579E37F00000001	60	60	Grasland		BG
0000281068F489EE00000003	311	311	Wintertarwe		
0000281064AAA6B000000004	9410	9410	Stamslabonen/sperziebonen_-_vers		
000028106A6BFD6D00000001	8410	8410	Stamslabonen/sperziebonen_-_industrie		
000028106360A79300000001	201	36	Spelt		
000028106A6F107300000003	8410	8410	Stamslabonen/sperziebonen_-_industrie		
000028106653616500000003	921	921	Vezelvlas_(bestemd_voor_vezelproductie)		
00002810692026A500000004	921	921	Vezelvlas_(bestemd_voor_vezelproductie)		
000028106653610000000001	921	921	Vezelvlas_(bestemd_voor_vezelproductie)		
